Provinsi,TipeFaskes,KodeFaskes,NamaFaskes,AlamatFaskes,TelpFaskes
Nanggroe Aceh Darussalam,Rumah Sakit,0006R001,RSU Datu Beru Takengon                                            ,Jl. Qurrata Aini. 153 , 0643 - 21396
Nanggroe Aceh Darussalam,Puskesmas,60002,Rusip Antara                                            ,Jl. Angkup - Pame, 0-0853 7361 27
Nanggroe Aceh Darussalam,Klinik Utama,0006U000,Dr. Aliyin                                            ,Jalan Alfitrah, 0643 - 24366
Nanggroe Aceh Darussalam,Klinik Pratama,60009,Klinik Polres Aceh Tengah                                            ,Jl. Zain Bakti Aspol Takengon, 0-0852 6021 39
Nanggroe Aceh Darussalam,Apotek,0006A010,Instalasi Farmasi RS Datu Beru                                            ,Jl. Rumah Sakit No. 153, 0643 - 21396
Nanggroe Aceh Darussalam,Rumah Sakit,0007R003,Montella                                            ,Jl. Beringin Jaya, 0655-085277999
Nanggroe Aceh Darussalam,Puskesmas,70012,Suak Ribee                                            ,Desa Suak Ribee, 0-85319562073
Nanggroe Aceh Darussalam,Klinik Utama,0007U007,dr. DR EMMALIANA SUANDY                                            ,Jl. Nasional Simp Rundeng , 0-8126936426
Nanggroe Aceh Darussalam,Klinik Pratama,70015,Tonkes Yonif 116/Gs                                            ,Jl. Alue Peunyareng,
Nanggroe Aceh Darussalam,Apotek,0007A007,Apotek Kimia Farma Meulaboh                                            ,Gajah Mada No.63 Meulaboh,85210381324
Nanggroe Aceh Darussalam,Rumah Sakit,0008R003,RS Ibnu Sina                                            ,Jl. Banda Aceh - Medan Km 25.5, 0651-8070469
Nanggroe Aceh Darussalam,Puskesmas,80008,Piyeung                                            ,Desa Piyeung, 0651-0
Nanggroe Aceh Darussalam,Dokter Praktik Perorangan,0008S001,Klinik Kasehat Walafiat                                    ,"Jalan Banda Aceh - Medan Km 9,", 0651-8071594
Nanggroe Aceh Darussalam,Klinik Utama,0008U015,Dr. Nilawati                                    ,Jl. Tgk. Fakinah No. 56, 0813-60444984
Nanggroe Aceh Darussalam,Klinik Pratama,80009,Sikes Lanud Iskandarmuda                                            ,Jl. Bueng Pageu, 0651-26691
Nanggroe Aceh Darussalam,Apotek,0008A002,If Rsud Aceh Besar                                            ,Jalan Banda Aceh-Medan Km. 25 , (0651) 8070165
Nanggroe Aceh Darussalam,Rumah Sakit,0009R001,RSU Tgk. Abdullah Syafi'I                                            ,"Banda Aceh-Medan, Beureunun", 0653-821576
Nanggroe Aceh Darussalam,Puskesmas,90006,Glumpang Baro                                            ,Jl.Tgk.Syik Trueng Campli No. , 0000-0000
Nanggroe Aceh Darussalam,Klinik Utama,0009U003,dr. ELLYA NOER                                            ,Jl. Belakang Puskesmas K Sigli, 0000-081269301
Nanggroe Aceh Darussalam,Klinik Pratama,90007,Yudha Bhakti                                            ,Jl. Malahayati, 0852-75124871
Nanggroe Aceh Darussalam,Apotek,0009A003,Apotik Rasa Sayang                                    ,B. Aceh-Medan No.2 Beureunuen,85370066393
Nanggroe Aceh Darussalam,Rumah Sakit,0010R002,RS Pertamina Rantau                                            ,Jl Cepu No. 1, 0641-064135018
Nanggroe Aceh Darussalam,Puskesmas,100001,Sekerak                                            ,Jln Pantai  Tinjau Lebuk Sidup,85262922474
Nanggroe Aceh Darussalam,Klinik Utama,0010U005,Dr Wilham Ali                                            ,Jalan Medan Banda Aceh,8126319545
Nanggroe Aceh Darussalam,Klinik Pratama,100005,Tonkes Yonif 111/Kb                                            ,Jl. Medan Banda Aceh, (0641)743612
Nanggroe Aceh Darussalam,Apotek,0010A003,IFRS Kabupaten Aceh Tamiang                                    ,Jln. Kesehatan, 0641-32115
Nanggroe Aceh Darussalam,Puskesmas,110001,Nibong                                            ,Jl. Simpang Paya - Leubok Reus, 0-0852 6114 64
Nanggroe Aceh Darussalam,Dokter Praktik Perorangan,0011S001,Klinik Cut Meutia Cot Girek                                            ,T.Raja Husen Dusun Buket Antar, 0645 - 7555122
Nanggroe Aceh Darussalam,Klinik Utama,0011U001,Dr. Diky Hardiansyah                                            ,Jl. Medan Banda Aceh, 0-0812 6952 77
Nanggroe Aceh Darussalam,Klinik Pratama,110010,Urkes Polres Aceh Utara                                            ,Banda Aceh Medan No. 1, 0645-31626
Nanggroe Aceh Darussalam,Apotek,0011A002,Apotek Pusaka Farma                                    ,Jl. Iskandar Muda No. 24,8116740116
Nanggroe Aceh Darussalam,Rumah Sakit,0012R001,RSU. Dr. FAUZIAH BIREUEN                                            ,Jl. T. Hamzah Bendahara, 0644 - 21228
Nanggroe Aceh Darussalam,Puskesmas,120001,Plimbang                                            ,Jl. Medan Banda Aceh Km. 195,
Nanggroe Aceh Darussalam,Klinik Utama,0012U005,Dr  Amir Addani M. Kes                                            ,Jl. Kolonel Husen Yusuf No. 22, 0644-21272
Nanggroe Aceh Darussalam,Klinik Pratama,120006,Urkes Polres Bireun                                            ,Jl. Laksamana Malahayati No. 0, 0852-96499986
Nanggroe Aceh Darussalam,Apotek,0012A004,IFRS dr Fauziah Bireuen                                    ,Mayjen T Hamzah Bendahara No 1, (0644)21228
Nanggroe Aceh Darussalam,Rumah Sakit,0013R001,RS Tni-Ad Lhokseumawe                                            ,Jl. Samudera No. 53 A, 0645 - 47010
Nanggroe Aceh Darussalam,Puskesmas,130001,Muara Satu                                            ,Jl. Banda Aceh - Medan, 0-085261046526
Nanggroe Aceh Darussalam,Klinik Utama,0013U010,dr. FERDIAN SUBHAN                                            ,Jalan Medan B.Aceh No.84A, 0-081377101330
Nanggroe Aceh Darussalam,Klinik Pratama,130002,Sikes Satrad 231                                            ,Jl. Komplek Tni Au Satrad 231,
Nanggroe Aceh Darussalam,Apotek,0013A006,Apotek Doua Husada                                            ,Jl. Merdeka No. 25 F, 0645-082364528
Nanggroe Aceh Darussalam,Rumah Sakit,0117R001,RSUD Aceh Singkil                                            ,Jln. Rimo / Singkil Km. 8, 0658-21878
Nanggroe Aceh Darussalam,Puskesmas,150004,Kuta Baharu                                            ,Desa Lentong,85260142997
Nanggroe Aceh Darussalam,Klinik Utama,0015U003,dr. DR MARDIANA MANIK                                    ,Jl Cut Meutia, 0658-21710
Nanggroe Aceh Darussalam,Klinik Pratama,150012,Poskes Im.10.01 Singkil                                            ,Asrama Kodim Singkil,85277554824
Nanggroe Aceh Darussalam,Apotek,0015A001,Apotek Berkah                                            ,Jl Rimo - Singkil Km 10,81361493500
Nanggroe Aceh Darussalam,Rumah Sakit,0116R001,RSUD Simeulue                                            ,"Jln. Rsu Simeulue Sinabang, Si", 0650-(0650) 21
Nanggroe Aceh Darussalam,Puskesmas,160009,Teupah Tengah                                            ,"Jl. Teuku Umar, Km. 10.5",
Nanggroe Aceh Darussalam,Klinik Pratama,160011,Klinik Polres Simeulue                                            ,"Jl. Teuku Umar, Polres Simeulu", 0650-21
Nanggroe Aceh Darussalam,Apotek,0016A004,Apotek kimia farma simeulue                                            ,Kompl Rsud Simeulue,85298726415
Nanggroe Aceh Darussalam,Rumah Sakit,0017R010,RS Ibu Dan Anak Aceh                                            ,Jalan Prof. A. Majid Ibrahim I,651637433
Nanggroe Aceh Darussalam,Puskesmas,1010102,Baiturrahman                                            ,Labuy - Ateuk Pahlawan, 62-85260398888
Nanggroe Aceh Darussalam,Dokter Praktik Perorangan,0017B003,Klinik Ginjal Nadhira                                            ,Jl Singgahmata No 29 Sukaramai, 0651-45284
Nanggroe Aceh Darussalam,Klinik Utama,0017U012,Dr. Taufik Ridwan                                            ,Jl. Pocut Baren No 37 C/D , 0000-081360390
Nanggroe Aceh Darussalam,Klinik Pratama,170002,Makodam Iskandar Muda                                            ,Jl. Kesehatan No.01 Kuta Alam , 0852-55041377
Nanggroe Aceh Darussalam,Apotek,0017A009,Apotik Laris 2                                    ,Kp.Mulia,811683231
Nanggroe Aceh Darussalam,Rumah Sakit,0018R001,RSAL J. Lili Pory                                            ,Jl T. Chik Ditiro Gampong Kuta, 0652-21302
Nanggroe Aceh Darussalam,Puskesmas,180001,Pria Laot                                            ,Jl.Iboih Km.11 ,8126919151
Nanggroe Aceh Darussalam,Klinik Utama,0102U006,"DR. ALI IMRAN, m.kes                                            ",Jl Bay Pass Jurong Tanoh Buju, 0652-081269656
Nanggroe Aceh Darussalam,Klinik Pratama,180003,Sikes Lanud Maimun Saleh                                            ,Jl. Maimun Saleh,
Nanggroe Aceh Darussalam,Rumah Sakit,0019R000,RSUD Teuku Umar                                            ,Ali Gunong Lr. Pmi No 1, 0654-2210
Nanggroe Aceh Darussalam,Puskesmas,190012,Indra Jaya                                            ,Kuta Bahagia,85260831055
Nanggroe Aceh Darussalam,Klinik Pratama,190014,Urkes Polres A. Jaya                                            ,Jalan Pinto Sa Dalam No 10, 0852-77477255
Nanggroe Aceh Darussalam,Apotek,0019A001,Apotik Prb Sehati                                            ,Jl. Wakasom,8236815717
Nanggroe Aceh Darussalam,Rumah Sakit,0020R001,RSUD Sultan Iskandar Muda                                            ,Jln. Nasional Meulaboh-Tapaktu, 0655-065570074
Nanggroe Aceh Darussalam,Puskesmas,200011,Alue Rambot                                            ,Jl.Nasional Mbo-Tapak Tuan,8126905635
Nanggroe Aceh Darussalam,Klinik Utama,0020U004,dr. DR ARFANDI BUKIT                                            ,Jl. Alfitrah,8136165928
Nanggroe Aceh Darussalam,Klinik Pratama,200016,Urkes Polres Nagan                                            ,Jln. Perkantoran Suka Makmue,
Nanggroe Aceh Darussalam,Apotek,0020A004,Apotek Sehati                                            ,jl. Nasional Meulaboh-Tapaktua,8.52603E+11
Nanggroe Aceh Darussalam,Rumah Sakit,0120R001,RSUD Teungku Peukan                                            ,Jln. Nasional Padang Meurante-, 0659-(0659) 92
Nanggroe Aceh Darussalam,Puskesmas,410001,Bineh Krueng                                            ,Desa  Bineh Krueng,81360508192
Nanggroe Aceh Darussalam,Klinik Utama,0041U005,Syafrizal                                            ,Jl. Iskandar Muda No 10, 0813-60065807
Nanggroe Aceh Darussalam,Klinik Pratama,410012,POSKES IM 10.02 Abdya                                            ,Jl. Rawa Sakti,85361645574
Nanggroe Aceh Darussalam,Apotek,0041A003,APOTIK PRB Korea                                            ,Nasional Padang Meurante,85214150164
Nanggroe Aceh Darussalam,Rumah Sakit,0424R001,RSUD Munyang Kute                                    ,"Jalan Teritit - Pondok Baru, S", 0643-7426252
Nanggroe Aceh Darussalam,Puskesmas,1080402,Singgah Mulo                                            ,Jl. Takengon - Bireuen, 0-081361748886
Nanggroe Aceh Darussalam,Klinik Utama,0424U001,Dr. Fatimah                                    ,Jl Buntul - Ramung, 0813-7034115
Nanggroe Aceh Darussalam,Klinik Pratama,4240020,Urkes Polres Bener Meriah                                            ,Jl. Bandara Rembele, 62-852 6057 94
Nanggroe Aceh Darussalam,Apotek,0424A001,Instalasi Farmasi Rs B. Meriah                                            ,Jl. Simpang Teritit - Pondok B, 0643 - 7426252
Nanggroe Aceh Darussalam,Rumah Sakit,0457R001,RSUD Pidie Jaya                                            ,Jl. B. Aceh-Medan Km. 158 Meur, 0653- 8003067
Nanggroe Aceh Darussalam,Puskesmas,1040101,Bandar Dua                                            ,Jl. Banda Aceh - Medan, 821-68111200
Nanggroe Aceh Darussalam,Klinik Utama,0457U004,Dr. Nurul Maizar                                            ,Gampong Rhing Blang, 0-085207704330
Nanggroe Aceh Darussalam,Klinik Pratama,0457B001,Klinik Tiga Saudara                                            ,Jln. Banda Aceh - Medan Km.132, 00-08526000678
Nanggroe Aceh Darussalam,Rumah Sakit,0458R000,RSUD Subulussalam                                            ,Jln. Hamzah Fansyuri, 0627-31700
Nanggroe Aceh Darussalam,Puskesmas,1171202,Rundeng                                    ,Runding Kec.Runding, 0822-77559349
Nanggroe Aceh Darussalam,Klinik Utama,0458U002,Dr Tri Sari Dharmayanti                                            ,Jl. Siti Ambiya,85270876595
Nanggroe Aceh Darussalam,Klinik Pratama,0458B001,Klinik Mutia Medika                                            ,Jl. Cut Nyak Dien No. 37,62731850
Nanggroe Aceh Darussalam,Apotek,0458A001,Apotek Kimia Farma SBS                                    ,Jl. Teuku Umar, 0812-081269809
Sumatera Utara,Puskesmas,210105,Sogaeadu                                            ,Kecamatan Sogaeadu,81361306156
Sumatera Utara,Rumah Sakit,0022R003,RS Permata Madina Panyabungan                                            ,Jl. Merdeka No 155 Kel. Kayu J, 0636-20279
Sumatera Utara,Puskesmas,220001,Gunung Tua                                            ,Jalan Bhayangkara, 0636-085370464
Sumatera Utara,Klinik Utama,0022U005,Dr Wuryandari                                            ,Jl P Kemerdekaan No 36, 0636-0
Sumatera Utara,Klinik Pratama,220011,Poli  Polres Madina                                            ,Jl. Bhayangkara 1, 0636-321218
Sumatera Utara,Apotek,0022A003,Apotik Qarinah                                            ,Jl. Pembangunan No 1 Depan RSU,63620346
Sumatera Utara,Rumah Sakit,0212R001,RSUD Tapanuli Selatan                                            ,Jl. Rumah Sakit No 1, 0634-41002
Sumatera Utara,Puskesmas,230001,Huraba                                            ,Desa Huraba, 0634-081263426
Sumatera Utara,Klinik Utama,0023U021,dr. Ayu Tri Yastuti                                            ,Jl. Sibolga-Padang Sidimpuan, 62-08139622223
Sumatera Utara,Klinik Pratama,0023B002,Klinik Batang Toru                                            ,Jalan Lintas Sibolga, 62-08126904448
Sumatera Utara,Apotek,0023A007,IFRS Rsud Tapanuli Selatan                                            ,Jl. Rumah Sakit No 1,63441002
Sumatera Utara,Rumah Sakit,0024R001,RSUD Pandan                                            ,Jl Dr. Fl. Tobing No 5 Pandan, 0631-372343
Sumatera Utara,Puskesmas,240106,Lumut                                    ,Jl. Sihobuk Dusun Ii,81376763833
Sumatera Utara,Dokter Praktik Perorangan,0024S001,Klinik Yakin Sehat Sibuluan                                    ,Jl.Padang Sidempuan Lingkungan, 0631-372299
Sumatera Utara,Klinik Utama,0024U017,Dr. Mesah Ginting                                    ,Jln Pasar Lama Po Manduamas, 0-081360368468
Sumatera Utara,Klinik Pratama,240001,Klinik Polres Tap.Tengah                                    ,Jl. Jendr. Faisal Tanjung Term, 0821-64682705
Sumatera Utara,Apotek,0024A004,Ifklinik Yakin Sehat                                    ,Padang Sidempuan Lingkungan IV,631372291
Sumatera Utara,Rumah Sakit,0211R001,RSUD Tarutung                                            ,Jl. Agus Salim No 1 Tarutung, 0633-21303
Sumatera Utara,Puskesmas,250001,Silangit                                    ,Jl. Balige Km 5, 0812-1877910
Sumatera Utara,Klinik Utama,0025U016,Dr. Tonny Lumban Tobing                                    ,Jl. Raja Johannes No. 92, 08-08126261892
Sumatera Utara,Klinik Pratama,250002,Poskes 01.10.06 Tarutung                                    ,Jl. Kol. Maringan Hutagalung,
Sumatera Utara,Apotek,0025A006,Ifrsud Tarutung                                    ,Jalan Agus Salim No.1 Tarutung,63321303
Sumatera Utara,Rumah Sakit,0218R001,RSUd.PORSEA                                            ,Jalan Raja Sipakko Napitupulu , 0632-41084
Sumatera Utara,Puskesmas,260001,Parmaksian                                            ,Jl. Raja Runggu Nalela 2 Ssor, 0812-081264075
Sumatera Utara,Klinik Utama,0026U007,dr. Christian Johannes L                                            ,Desa Situluama Kec. Laguboti, 0813-081375555
Sumatera Utara,Klinik Pratama,260002,Klinik Polres Toba Samosir                                            ,Jl. Sipinggol Dolok Porsea, 0813-081361910
Sumatera Utara,Apotek,0026A012,Apotek Tiara                                            ,Jl.Balige Nomor 45,8126442835
Sumatera Utara,Rumah Sakit,0027R007,RSU Elpi Al-Azis                                            ,Jl. WR Supratman, 0624-2600380
Sumatera Utara,Puskesmas,270103,Sei Penggantungan                                            ,Jln.Besar Sei Penggantungan,
Sumatera Utara,Dokter Praktik Perorangan,0027S010,Klinik Utama Spesialis Bunda                                            ,Ahmad Yani No. 197, 0624-24912
Sumatera Utara,Klinik Utama,0027U014,Dr  Sanny Raida Sitompul                                            ,Imam Bonjol No. 64, 0-062422812
Sumatera Utara,Klinik Pratama,270002,Poskes 01.10.03                                            ,Jl. Pramuka, 0624-08116230
Sumatera Utara,Apotek,0027A005,Apotik Kimia Farma.R.Prapat                                            ,Jl.Ahmad Yani  No 128, 0000-(0624) 22
Sumatera Utara,Rumah Sakit,0028R007,RS Setio Husodo                                            ,Jl. Sisingamangaraja No 67, 0623-43394
Sumatera Utara,Puskesmas,280001,Prapat Janji                                            ,Dusun Prapat Janji, 0-085361143648
Sumatera Utara,Klinik Utama,0028U012,Dr H Rahmat Abdi Sinaga                                            ,Sei Piring No 62, 0-081375650251
Sumatera Utara,Klinik Pratama,280007,Rumkitban 01.08.01Kisaran                                            ,Jl. Latsitarda Nusantara 8, 0623-345117
Sumatera Utara,Apotek,0028A001,IFRS Rs Setio Husodo                                    ,Sisingamangaraja No 67, 0623-43394
Sumatera Utara,Rumah Sakit,0029R004,RSUD Perdagangan                                            ,"Jl. Rajamin Purba, Sh", 621-0853728102
Sumatera Utara,Puskesmas,290902,Pamatang Silimahuta                                            ,Pamatang Silimahuta, 0-082165790636
Sumatera Utara,Klinik Utama,0029U011,Dr. Ruspal L.R.P Simarmata                                            ,Jl Durian Raya No:7, 0-081361756364
Sumatera Utara,Klinik Pratama,290001,Tonkes Yonif 122 / Ts                                            ,Jl. Melantohon Siregar, 0812-081277492
Sumatera Utara,Apotek,0029A001,Tiara Farma Sml                                    ,Jl Akasia Raya No. 07 BatuAnam,81263663545
Sumatera Utara,Rumah Sakit,0209R001,RSUD Sidikalang                                            ,Rumah Sakit Sidikalang, 0627-21008
Sumatera Utara,Puskesmas,2090101,Tiga Lingga                                            ,Jln. Kesehatan No 9 Tigalingga,85262181880
Sumatera Utara,Klinik Utama,0030U003,dr. Nitawati Sitohang                                            ,Komplek Panji Asri, 0823-66293505
Sumatera Utara,Klinik Pratama,300002,Poskes 01.10.05 Sd Kalang                                            ,Jl. Sudirman No 12, 0812-63600893
Sumatera Utara,Apotek,0030A001,Apotik Immanuel                                            ,Jl. Sm. Raja Lk. I No. 13,8126373736
Sumatera Utara,Rumah Sakit,0031R008,RS Efarina Etaham                                            ,Jln Jamin Ginting No. 1, 0628-323716
Sumatera Utara,Puskesmas,2080101,Tiga Binanga                                            ,Jl Rakoetta Brahmana, 0628-410015
Sumatera Utara,Klinik Utama,0031U016,dr Hartawaty                                            ,Jl. Ujung Aji Berastagi, 0821-65952301
Sumatera Utara,Klinik Pratama,310009,Poskes 01.10.04 Kabanjahe                                            ,Jl. Sudirman No. 42, 0628-9832121
Sumatera Utara,Apotek,0031A001,Apotek Kimia Farma Kabanjahe                                            ,Kapt. Selamat Ketaren,82368757596
Sumatera Utara,Rumah Sakit,0032R001,RSU Sembiring                                            ,Jl Besar Deli Tua No77, 061-7033569
Sumatera Utara,Puskesmas,320103,Labuhan Deli                                            ,Jln.Serbaguna Ujung ,
Sumatera Utara,Klinik Utama,0032U140,dr. Nova Rahmawati                                    ,Jalan Klambir V Pasar Iv Kebon, 0-08527692563
Sumatera Utara,Klinik Pratama,320001,Poskes 01.10.02 Lb Pakam                                            ,Jl. Galang Km 2, 00-08529692602
Sumatera Utara,Apotek,0032A006,Apotek Keliat                                    ,Jalan Sultan Arab No 111,8126368799
Sumatera Utara,Rumah Sakit,0033R005,RS Tanjung Selamat                                            ,Besar Batang Serangan,6177209963
Sumatera Utara,Puskesmas,330001,Pematang Jaya                                            ,Ds  L Mungkur  Pematang Jaya,8126579774
Sumatera Utara,Klinik Pratama,330003,Klinik Yonif100/ Raider                                            ,Jl. Namu Ukur Utara Sei Bengai,85265278096
Sumatera Utara,Apotek,0033A002,Inf.Rsud Tanjungpura                                            ,Jl.Chairil Anwar No.9,618960093
Sumatera Utara,Rumah Sakit,0034R004,RS Metta Medika                                            ,Jl. Sutoyo Siswomiharjo No.34, 0631-25007
Sumatera Utara,Puskesmas,340402,Aek Parombunan                                    ,Jl. Sudirman No. 59 ,
Sumatera Utara,Klinik Utama,0034U001,Dr Tony Giovanno Sinaga                                            ,Jl Letjen Suprapto No 99,8126444024
Sumatera Utara,Klinik Pratama,340001,Rumkitban 01.08.02. Sibolga                                            ,Jl. Sisingamangaraja No 425, 0631-23570
Sumatera Utara,Apotek,0034A001,Apotik Segar                                            ,Jl. Suprapto No. 116,85372127781
Sumatera Utara,Rumah Sakit,0035R001,RSU Hadi Husada                                            ,Jl. Jendral Sudirman No. 26, 0623-92707
Sumatera Utara,Puskesmas,350001,Sipori Pori                                            ,Jl Besar Sipori Pori, 0-080852764527
Sumatera Utara,Klinik Utama,0035U010,Dr Kwasai                                            ,Teuku Umar No 55 D, 0-062393496
Sumatera Utara,Klinik Pratama,350002,Polres Tanjung Balai                                            ,Jl. Sudirman No. 20, 0-0623597110
Sumatera Utara,Apotek,0035A007,Apotek Hana Pharmacy                                            ,"Jl. Teuku Umar, No. 71E", 0623-735250
Sumatera Utara,Rumah Sakit,0036R009,Rumah Sakit Harapan                                            ,Jalan Farel Pasaribu No. 21, 0622-21162
Sumatera Utara,Puskesmas,360001,Simarimbun                                            ,Jl. Parapat Km 4.5  , 0-085276999123
Sumatera Utara,Klinik Utama,0036U026,"DR.ANTONIUS SIMA PURBA,M.Epid                                            ",Jl.Gereja No.49B, 0-081260613866
Sumatera Utara,Klinik Pratama,360003,Sikes Rindam I/Bb                                            ,Jl. Argasari, 0-081361355925
Sumatera Utara,Apotek,0036A013,Apotik Sejahtera Kronis                                            ,Jl. Sutomo No. 233 P. Siantar, 0622-23153
Sumatera Utara,Rumah Sakit,0037R001,RS Bhayangkara Tebing Tinggi                                            ,Jl. Pahlawan No.17 A , 0621-326701
Sumatera Utara,Puskesmas,2060101,Satria                                    ,Jl.T.Imam Bonjol, 000-0813709680
Sumatera Utara,Klinik Pratama,370001,Den B Kompi I & Iv T. Tinggi                                    ,Jl. Jendral A. Yani No. 111, 0621-085204421
Sumatera Utara,Apotek,0037A006,Apotik Saudara Baru                                    ,Kapten F. Tandean No. 10,8527565073
Sumatera Utara,Rumah Sakit,0038R002,Bina Kasih                                            ,Jl Tb Simatupang No.148, 061-8475111
Sumatera Utara,Puskesmas,2010101,Pasar Merah                                            ,Jl.Hm.Jhoni Medan No. 104, 62-08521027684
Sumatera Utara,Dokter Praktik Perorangan,0038R016,Medan Hemodialisis Center                                    ,Sei Tuan No 2 Medan, 061-4568849
Sumatera Utara,Klinik Utama,0038U004,dr. NURWIN YUSSID TANJUNG                                            ,Jl.Brigadir Jendral Zein Hamid,8163110118
Sumatera Utara,Klinik Pratama,380004,Klinik Makodam 1Bb                                            ,"Jl. Binjai Km. 7,5 Medan", 061-80441027
Sumatera Utara,Apotek,0038A001,Inst Farm H Adam Malik                                            ,Bunga Lau No.17,618360381
Sumatera Utara,Rumah Sakit,0039R003,RSU Latersia Binjai                                            ,Jl. Soekarno-Hatta No.451, 061(8829588)
Sumatera Utara,Puskesmas,390503,Jati Makmur                                            ,Jl Nibung I,8126586717
Sumatera Utara,Klinik Utama,0039U002,dr. M.INDRA TARIGAN                                            ,Jl. Gatot Subroto No. 106,8126596039
Sumatera Utara,Klinik Pratama,390001,Klinik Yon Arhanudse 11 Bs                                            ,Jl. Bejo Muna,81263612981
Sumatera Utara,Apotek,0039A004,Inst Farm Rsu Latersia Binjai                                            ,Jl. Soekarno-Hatta No.451,618829588
Sumatera Utara,Rumah Sakit,0218R005,RSUD.Sultan Sulaiman                                            ,Jl Negara Km 85 No 315, 0621- 442100
Sumatera Utara,Puskesmas,2180001,Bintang Bayu                                            ,Jalan Bintang Bayu, 0-08116103914
Sumatera Utara,Klinik Pratama,2180005,Polres Sergei                                    ,Jl.Negara No. 60 Firdaus, 0621-442088
Sumatera Utara,Apotek,0218A008,Apotik Sergai Farma                                    ,Jl. Negara,81264676664
Sumatera Utara,Rumah Sakit,0218R002,RSUD dr. Hadrianus Sinaga                                            ,Jl.Dr.Hadrianus Sinaga, 0626-20923
Sumatera Utara,Puskesmas,2780001,Lontung                                            ,Desa Parmonangan, 0-085270580552
Sumatera Utara,Klinik Utama,0278U002,Dr.Nimpan Karo-Karo                                            ,Jl.Kol. Liberty Malau, 0-08126383700
